Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
49	-17	17	870	49	-17	17	870	49	-17	17	870	49	-17	17	870	49	-17	17	870	49	-17	17	870	49	-17	17	870	49	-17	17	870	49	-17	17	870
50	-119	20	890	50	-119	20	890	50	-119	20	890	50	-119	20	890	50	-119	20	890	50	-119	20	890	50	-119	20	890	50	-119	20	890	50	-119	20	890
51	-118	19	909	51	-118	19	909	51	-118	19	909	51	-118	19	909	51	-118	19	909	51	-118	19	909	51	-118	19	909	51	-118	19	909	51	-118	19	909
52	-17	17	926	52	-17	17	926	52	-17	17	926	52	-17	17	926	52	-17	17	926	52	-17	17	926	52	-17	17	926	52	-17	17	926	52	-17	17	926
53	-15	15	941	53	-15	15	941	53	-15	15	941	53	-15	15	941	53	-15	15	941	53	-15	15	941	53	-15	15	941	53	-15	15	941	53	-15	15	941
54	-15	15	956	54	-15	15	956	54	-15	15	956	54	-15	15	956	54	-15	15	956	54	-15	15	956	54	-15	15	956	54	-15	15	956	54	-15	15	956
55	-17	17	973	55	-17	17	973	55	-17	17	973	55	-17	17	973	55	-17	17	973	55	-17	17	973	55	-17	17	973	55	-17	17	973	55	-17	17	973
56	-18	18	991	56	-18	18	991	56	-18	18	991	56	-18	18	991	56	-18	18	991	56	-18	18	991	56	-18	18	991	56	-18	18	991	56	-18	18	991
57	-17	17	1008	57	-17	17	1008	57	-17	17	1008	57	-17	17	1008	57	-17	17	1008	57	-17	17	1008	57	-17	17	1008	57	-17	17	1008	57	-17	17	1008
58	-17	17	1025	58	-17	17	1025	58	-17	17	1025	58	-17	17	1025	58	-17	17	1025	58	-17	17	1025	58	-17	17	1025	58	-17	17	1025	58	-17	17	1025
59	-17	17	1042	59	-17	17	1042	59	-17	17	1042	59	-17	17	1042	59	-17	17	1042	59	-17	17	1042	59	-17	17	1042	59	-17	17	1042	59	-17	17	1042
60	-18	18	1060	60	-18	18	1060	60	-18	18	1060	60	-18	18	1060	60	-18	18	1060	60	-18	18	1060	60	-18	18	1060	60	-18	18	1060	60	-18	18	1060
61	-17	17	1077	61	-17	17	1077	61	-17	17	1077	61	-17	17	1077	61	-17	17	1077	61	-17	17	1077	61	-17	17	1077	61	-17	17	1077	61	-17	17	1077
62	-15	15	1092	62	-15	15	1092	62	-15	15	1092	62	-15	15	1092	62	-15	15	1092	62	-15	15	1092	62	-15	15	1092	62	-15	15	1092	62	-15	15	1092
63	-17	17	1109	63	-17	17	1109	63	-17	17	1109	63	-17	17	1109	63	-17	17	1109	63	-17	17	1109	63	-17	17	1109	63	-17	17	1109	63	-17	17	1109
64	-17	17	1126	64	-17	17	1126	64	-17	17	1126	64	-17	17	1126	64	-17	17	1126	64	-17	17	1126	64	-17	17	1126	64	-17	17	1126	64	-17	17	1126
65	-15	15	1141	65	-15	15	1141	65	-15	15	1141	65	-15	15	1141	65	-15	15	1141	65	-15	15	1141	65	-15	15	1141	65	-15	15	1141	65	-15	15	1141
66	-19	19	1160	66	-19	19	1160	66	-19	19	1160	66	-19	19	1160	66	-19	19	1160	66	-19	19	1160	66	-19	19	1160	66	-19	19	1160	66	-19	19	1160
67	-17	17	1177	67	-17	17	1177	67	-17	17	1177	67	-17	17	1177	67	-17	17	1177	67	-17	17	1177	67	-17	17	1177	67	-17	17	1177	67	-17	17	1177
68	-15	15	1192	68	-15	15	1192	68	-15	15	1192	68	-15	15	1192	68	-15	15	1192	68	-15	15	1192	68	-15	15	1192	68	-15	15	1192	68	-15	15	1192
69	-20	20	1212	69	-20	20	1212	69	-20	20	1212	69	-20	20	1212	69	-20	20	1212	69	-20	20	1212	69	-20	20	1212	69	-20	20	1212	69	-20	20	1212
70	-16	16	1228	70	-16	16	1228	70	-16	16	1228	70	-16	16	1228	70	-16	16	1228	70	-16	16	1228	70	-16	16	1228	70	-16	16	1228	70	-16	16	1228
71	-22	22	1250	71	-22	22	1250	71	-22	22	1250	71	-22	22	1250	71	-22	22	1250	71	-22	22	1250	71	-22	22	1250	71	-22	22	1250	71	-22	22	1250
72	-15	15	1265	72	-15	15	1265	72	-15	15	1265	72	-15	15	1265	72	-15	15	1265	72	-15	15	1265	72	-15	15	1265	72	-15	15	1265	72	-15	15	1265
73	-22	22	1287	73	-22	22	1287	73	-22	22	1287	73	-22	22	1287	73	-22	22	1287	73	-22	22	1287	73	-22	22	1287	73	-22	22	1287	73	-22	22	1287
74	-19	19	1306	74	-19	19	1306	74	-19	19	1306	74	-19	19	1306	74	-19	19	1306	74	-19	19	1306	74	-19	19	1306	74	-19	19	1306	74	-19	19	1306
75	-15	15	1321	75	-15	15	1321	75	-15	15	1321	75	-15	15	1321	75	-15	15	1321	75	-15	15	1321	75	-15	15	1321	75	-15	15	1321	75	-15	15	1321
76	-15	15	1336	76	-15	15	1336	76	-15	15	1336	76	-15	15	1336	76	-15	15	1336	76	-15	15	1336	76	-15	15	1336	76	-15	15	1336	76	-15	15	1336
77	-17	17	1353	77	-17	17	1353	77	-17	17	1353	77	-17	17	1353	77	-17	17	1353	77	-17	17	1353	77	-17	17	1353	77	-17	17	1353	77	-17	17	1353
78	-17	17	1370	78	-17	17	1370	78	-17	17	1370	78	-17	17	1370	78	-17	17	1370	78	-17	17	1370	78	-17	17	1370	78	-17	17	1370	78	-17	17	1370
79	-19	19	1389	79	-19	19	1389	79	-19	19	1389	79	-19	19	1389	79	-19	19	1389	79	-19	19	1389	79	-19	19	1389	79	-19	19	1389	79	-19	19	1389
80	-17	17	1406	80	-17	17	1406	80	-17	17	1406	80	-17	17	1406	80	-17	17	1406	80	-17	17	1406	80	-17	17	1406	80	-17	17	1406	80	-17	17	1406
81	-15	15	1421	81	-15	15	1421	81	-15	15	1421	81	-15	15	1421	81	-15	15	1421	81	-15	15	1421	81	-15	15	1421	81	-15	15	1421	81	-15	15	1421
82	-21	21	1442	82	-21	21	1442	82	-21	21	1442	82	-21	21	1442	82	-21	21	1442	82	-21	21	1442	82	-21	21	1442	82	-21	21	1442	82	-21	21	1442
83	-17	17	1459	83	-17	17	1459	83	-17	17	1459	83	-17	17	1459	83	-17	17	1459	83	-17	17	1459	83	-17	17	1459	83	-17	17	1459	83	-17	17	1459
84	-19	19	1478	84	-19	19	1478	84	-19	19	1478	84	-19	19	1478	84	-19	19	1478	84	-19	19	1478	84	-19	19	1478	84	-19	19	1478	84	-19	19	1478
85	-15	15	1493	85	-15	15	1493	85	-15	15	1493	85	-15	15	1493	85	-15	15	1493	85	-15	15	1493	85	-15	15	1493	85	-15	15	1493	85	-15	15	1493
86	-21	21	1514	86	-21	21	1514	86	-21	21	1514	86	-21	21	1514	86	-21	21	1514	86	-21	21	1514	86	-21	21	1514	86	-21	21	1514	86	-21	21	1514
87	-18	18	1532	87	-18	18	1532	87	-18	18	1532	87	-18	18	1532	87	-18	18	1532	87	-18	18	1532	87	-18	18	1532	87	-18	18	1532	87	-18	18	1532
88	-15	15	1547	88	-15	15	1547	88	-15	15	1547	88	-15	15	1547	88	-15	15	1547	88	-15	15	1547	88	-15	15	1547	88	-15	15	1547	88	-15	15	1547
89	-15	15	1562	89	-15	15	1562	89	-15	15	1562	89	-15	15	1562	89	-15	15	1562	89	-15	15	1562	89	-15	15	1562	89	-15	15	1562	89	-15	15	1562
90	-17	17	1579	90	-17	17	1579	90	-17	17	1579	90	-17	17	1579	90	-17	17	1579	90	-17	17	1579	90	-17	17	1579	90	-17	17	1579	90	-17	17	1579
91	-19	19	1598	91	-19	19	1598	91	-19	19	1598	91	-19	19	1598	91	-19	19	1598	91	-19	19	1598	91	-19	19	1598	91	-19	19	1598	91	-19	19	1598
92	-15	15	1613	92	-15	15	1613	92	-15	15	1613	92	-15	15	1613	92	-15	15	1613	92	-15	15	1613	92	-15	15	1613	92	-15	15	1613	92	-15	15	1613
93	-21	21	1634	93	-21	21	1634	93	-21	21	1634	93	-21	21	1634	93	-21	21	1634	93	-21	21	1634	93	-21	21	1634	93	-21	21	1634	93	-21	21	1634
94	-21	21	1655	94	-21	21	1655	94	-21	21	1655	94	-21	21	1655	94	-21	21	1655	94	-21	21	1655	94	-21	21	1655	94	-21	21	1655	94	-21	21	1655
95	-19	19	1674	95	-19	19	1674	95	-19	19	1674	95	-19	19	1674	95	-19	19	1674	95	-19	19	1674	95	-19	19	1674	95	-19	19	1674	95	-19	19	1674
96	-118	19	1693	96	-118	19	1693	96	-118	19	1693	96	-118	19	1693	96	-118	19	1693	96	-118	19	1693	96	-118	19	1693	96	-118	19	1693	96	-118	19	1693
97	-17	17	1710	97	-17	17	1710	97	-17	17	1710	97	-17	17	1710	97	-17	17	1710	97	-17	17	1710	97	-17	17	1710	97	-17	17	1710	97	-17	17	1710
98	-15	15	1725	98	-15	15	1725	98	-15	15	1725	98	-15	15	1725	98	-15	15	1725	98	-15	15	1725	98	-15	15	1725	98	-15	15	1725	98	-15	15	1725
99	-17	17	1742	99	-17	17	1742	99	-17	17	1742	99	-17	17	1742	99	-17	17	1742	99	-17	17	1742	99	-17	17	1742	99	-17	17	1742	99	-17	17	1742
100	-23	23	1765	100	-23	23	1765	100	-23	23	1765	100	-23	23	1765	100	-23	23	1765	100	-23	23	1765	100	-23	23	1765	100	-23	23	1765	100	-23	23	1765
101	-17	17	1782	101	-17	17	1782	101	-17	17	1782	101	-17	17	1782	101	-17	17	1782	101	-17	17	1782	101	-17	17	1782	101	-17	17	1782	101	-17	17	1782
102	-17	17	1799	102	-17	17	1799	102	-17	17	1799	102	-17	17	1799	102	-17	17	1799	102	-17	17	1799	102	-17	17	1799	102	-17	17	1799	102	-17	17	1799
103	-15	15	1814	103	-15	15	1814	103	-15	15	1814	103	-15	15	1814	103	-15	15	1814	103	-15	15	1814	103	-15	15	1814	103	-15	15	1814	103	-15	15	1814
104	-17	17	1831	104	-17	17	1831	104	-17	17	1831	104	-17	17	1831	104	-17	17	1831	104	-17	17	1831	104	-17	17	1831	104	-17	17	1831	104	-17	17	1831
105	-17	17	1848	105	-17	17	1848	105	-17	17	1848	105	-17	17	1848	105	-17	17	1848	105	-17	17	1848	105	-17	17	1848	105	-17	17	1848	105	-17	17	1848
106	-123	24	1872	106	-123	24	1872	106	-123	24	1872	106	-123	24	1872	106	-123	24	1872	106	-123	24	1872	106	-123	24	1872	106	-123	24	1872	106	-123	24	1872
107	-15	15	1887	107	-15	15	1887	107	-15	15	1887	107	-15	15	1887	107	-15	15	1887	107	-15	15	1887	107	-15	15	1887	107	-15	15	1887	107	-15	15	1887
108	-19	19	1906	108	-19	19	1906	108	-19	19	1906	108	-19	19	1906	108	-19	19	1906	108	-19	19	1906	108	-19	19	1906	108	-19	19	1906	108	-19	19	1906
109	-24	24	1930	109	-24	24	1930	109	-24	24	1930	109	-24	24	1930	109	-24	24	1930	109	-24	24	1930	109	-24	24	1930	109	-24	24	1930	109	-24	24	1930
110	-17	17	1947	110	-17	17	1947	110	-17	17	1947	110	-17	17	1947	110	-17	17	1947	110	-17	17	1947	110	-17	17	1947	110	-17	17	1947	110	-17	17	1947
111	-17	17	1964	111	-17	17	1964	111	-17	17	1964	111	-17	17	1964	111	-17	17	1964	111	-17	17	1964	111	-17	17	1964	111	-17	17	1964	111	-17	17	1964
112	-19	19	1983	112	-19	19	1983	112	-19	19	1983	112	-19	19	1983	112	-19	19	1983	112	-19	19	1983	112	-19	19	1983	112	-19	19	1983	112	-19	19	1983
113	-19	19	2002	113	-19	19	2002	113	-19	19	2002	113	-19	19	2002	113	-19	19	2002	113	-19	19	2002	113	-19	19	2002	113	-19	19	2002	113	-19	19	2002
