Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
318	-142	43	20945	318	-142	43	20945
319	-23	23	20968	319	-23	23	20968
320	-27	27	20995	320	-27	27	20995
321	-26	26	21021	321	-26	26	21021
322	-19	19	21040	322	-19	19	21040
323	-27	27	21067	323	-27	27	21067
324	-28	28	21095	324	-28	28	21095
325	-17	17	21112	325	-17	17	21112
326	-27	27	21139	326	-27	27	21139
327	-31	31	21170	327	-31	31	21170
328	-23	23	21193	328	-23	23	21193
329	-28	28	21221	329	-28	28	21221
330	-26	26	21247	330	-26	26	21247
331	-19	19	21266	331	-19	19	21266
332	-25	25	21291	332	-25	25	21291
333	-138	39	21330	333	-138	39	21330
334	-20	20	21350	334	-20	20	21350
335	-31	31	21381	335	-31	31	21381
336	-23	23	21404	336	-23	23	21404
337	-25	25	21429	337	-25	25	21429
338	-26	26	21455	338	-26	26	21455
339	-17	17	21472	339	-17	17	21472
340	-29	29	21501	340	-29	29	21501
341	-48	48	21549	341	-48	48	21549
342	-31	31	21580	342	-31	31	21580
343	-35	35	21615	343	-35	35	21615
344	-27	27	21642	344	-27	27	21642
345	-28	28	21670	345	-28	28	21670
346	-249	51	21721	346	-249	51	21721
347	-33	33	21754	347	-33	33	21754
348	-120	21	21775	348	-120	21	21775
349	-122	23	21798	349	-122	23	21798
350	-23	23	21821	350	-23	23	21821
351	-17	17	21838	351	-17	17	21838
352	-19	19	21857	352	-19	19	21857
353	-27	27	21884	353	-27	27	21884
354	-27	27	21911	354	-27	27	21911
355	-27	27	21938	355	-27	27	21938
356	-28	28	21966	356	-28	28	21966
357	-17	17	21983	357	-17	17	21983
358	-17	17	22000	358	-17	17	22000
359	-23	23	22023	359	-23	23	22023
360	-29	29	22052	360	-29	29	22052
361	-17	17	22069	361	-17	17	22069
362	-127	28	22097	362	-127	28	22097
363	-33	33	22130	363	-33	33	22130
364	-21	21	22151	364	-21	21	22151
365	-122	23	22174	365	-122	23	22174
366	-22	22	22196	366	-22	22	22196
367	-25	25	22221	367	-25	25	22221
368	-32	32	22253	368	-32	32	22253
369	-19	19	22272	369	-19	19	22272
370	-32	32	22304	370	-32	32	22304
371	-24	24	22328	371	-24	24	22328
372	-24	24	22352	372	-24	24	22352
373	-24	24	22376	373	-24	24	22376
374	-21	21	22397	374	-21	21	22397
375	-21	21	22418	375	-21	21	22418
376	-25	25	22443	376	-25	25	22443
377	-27	27	22470	377	-27	27	22470
378	-36	36	22506	378	-36	36	22506
379	-21	21	22527	379	-21	21	22527
380	-147	48	22575	380	-147	48	22575
381	-23	23	22598	381	-23	23	22598
382	-33	33	22631	382	-33	33	22631
383	-21	21	22652	383	-21	21	22652
384	-27	27	22679	384	-27	27	22679
385	-27	27	22706	385	-27	27	22706
386	-22	22	22728	386	-22	22	22728
387	-23	23	22751	387	-23	23	22751
388	-19	19	22770	388	-19	19	22770
389	-40	40	22810	389	-40	40	22810
390	-20	20	22830	390	-20	20	22830
391	-119	20	22850	391	-119	20	22850
392	-19	19	22869	392	-19	19	22869
393	-32	32	22901	393	-32	32	22901
394	-19	19	22920	394	-19	19	22920
395	-32	32	22952	395	-32	32	22952
396	-28	28	22980	396	-28	28	22980
397	-27	27	23007	397	-27	27	23007
398	-36	36	23043	398	-36	36	23043
399	-22	22	23065	399	-22	22	23065
400	-33	33	23098	400	-33	33	23098
401	-20	20	23118	401	-20	20	23118
402	-24	24	23142	402	-24	24	23142
403	-25	25	23167	403	-25	25	23167
404	-17	17	23184	404	-17	17	23184
405	-23	23	23207	405	-23	23	23207
406	-25	25	23232	406	-25	25	23232
407	-19	19	23251	407	-19	19	23251
408	-18	18	23269	408	-18	18	23269
409	-29	29	23298	409	-29	29	23298
410	-27	27	23325	410	-27	27	23325
411	-18	18	23343	411	-18	18	23343
412	-23	23	23366	412	-23	23	23366
413	-21	21	23387	413	-21	21	23387
414	-15	15	23402	414	-15	15	23402
415	-17	17	23419	415	-17	17	23419
416	-25	25	23444	416	-25	25	23444
417	-23	23	23467	417	-23	23	23467
418	-30	30	23497	418	-30	30	23497
419	-33	33	23530	419	-33	33	23530
420	-25	25	23555	420	-25	25	23555
421	-23	23	23578	421	-23	23	23578
422	-128	29	23607	422	-128	29	23607
423	-29	29	23636	423	-29	29	23636
424	-21	21	23657	424	-21	21	23657
425	-19	19	23676	425	-19	19	23676
426	-17	17	23693	426	-17	17	23693
427	-17	17	23710	427	-17	17	23710
428	-25	25	23735	428	-25	25	23735
429	-19	19	23754	429	-19	19	23754
430	-21	21	23775	430	-21	21	23775
431	-29	29	23804	431	-29	29	23804
432	-42	42	23846	432	-42	42	23846
433	-27	27	23873	433	-27	27	23873
434	-21	21	23894	434	-21	21	23894
435	-21	21	23915	435	-21	21	23915
436	-19	19	23934	436	-19	19	23934
437	-35	35	23969	437	-35	35	23969
438	-17	17	23986	438	-17	17	23986
439	-23	23	24009	439	-23	23	24009
440	-17	17	24026	440	-17	17	24026
441	-19	19	24045	441	-19	19	24045
442	-19	19	24064	442	-19	19	24064
443	-17	17	24081	443	-17	17	24081
444	-17	17	24098	444	-17	17	24098
445	-19	19	24117	445	-19	19	24117
446	-117	18	24135	446	-117	18	24135
447	-15	15	24150	447	-15	15	24150
448	-26	26	24176	448	-26	26	24176
449	-26	26	24202	449	-26	26	24202
450	-28	28	24230	450	-28	28	24230
451	-17	17	24247	451	-17	17	24247
452	-19	19	24266	452	-19	19	24266
453	-129	30	24296	453	-129	30	24296
454	-21	21	24317	454	-21	21	24317
455	-18	18	24335	455	-18	18	24335
456	-17	17	24352	456	-17	17	24352
457	-23	23	24375	457	-23	23	24375
458	-27	27	24402	458	-27	27	24402
459	-30	30	24432	459	-30	30	24432
460	-23	23	24455	460	-23	23	24455
461	-25	25	24480	461	-25	25	24480
462	-119	20	24500	462	-119	20	24500
463	-29	29	24529	463	-29	29	24529
464	-25	25	24554	464	-25	25	24554
465	-25	25	24579	465	-25	25	24579
466	-22	22	24601	466	-22	22	24601
467	-21	21	24622	467	-21	21	24622
468	-15	15	24637	468	-15	15	24637
469	-18	18	24655	469	-18	18	24655
470	-15	15	24670	470	-15	15	24670
471	-125	26	24696	471	-125	26	24696
472	-23	23	24719	472	-23	23	24719
473	-17	17	24736	473	-17	17	24736
474	-25	25	24761	474	-25	25	24761
475	-19	19	24780	475	-19	19	24780
476	-23	23	24803	476	-23	23	24803
477	-19	19	24822	477	-19	19	24822
478	-21	21	24843	478	-21	21	24843
479	-17	17	24860	479	-17	17	24860
480	-15	15	24875	480	-15	15	24875
481	-23	23	24898	481	-23	23	24898
482	-22	22	24920	482	-22	22	24920
483	-21	21	24941	483	-21	21	24941
484	-115	16	24957	484	-115	16	24957
485	-23	23	24980	485	-23	23	24980
486	-25	25	25005	486	-25	25	25005
487	-17	17	25022	487	-17	17	25022
488	-20	20	25042	488	-20	20	25042
489	-15	15	25057	489	-15	15	25057
490	-27	27	25084	490	-27	27	25084
491	-24	24	25108	491	-24	24	25108
492	-22	22	25130	492	-22	22	25130
493	-17	17	25147	493	-17	17	25147
494	-15	15	25162	494	-15	15	25162
495	-28	28	25190	495	-28	28	25190
496	-18	18	25208	496	-18	18	25208
497	-15	15	25223	497	-15	15	25223
498	-27	27	25250	498	-27	27	25250
499	-15	15	25265	499	-15	15	25265
