Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509	54	-162	63	6509
55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563	55	-153	54	6563
56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589	56	-26	26	6589
57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643	57	-54	54	6643
58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684	58	-41	41	6684
59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702	59	-18	18	6702
60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762	60	-60	60	6762
61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822	61	-159	60	6822
62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879	62	-57	57	6879
63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997	63	-316	118	6997
