Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399	159	-38	38	10399
160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418	160	-19	19	10418
161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435	161	-17	17	10435
162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448	162	-13	13	10448
163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483	163	-35	35	10483
164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510	164	-27	27	10510
165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527	165	-17	17	10527
166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561	166	-133	34	10561
167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582	167	-21	21	10582
168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602	168	-20	20	10602
169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623	169	-21	21	10623
170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643	170	-20	20	10643
171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668	171	-25	25	10668
172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692	172	-24	24	10692
173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731	173	-39	39	10731
174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750	174	-19	19	10750
175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766	175	-16	16	10766
176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789	176	-23	23	10789
177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812	177	-23	23	10812
178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851	178	-138	39	10851
179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868	179	-17	17	10868
180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899	180	-31	31	10899
181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919	181	-20	20	10919
182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934	182	-15	15	10934
183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951	183	-17	17	10951
184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000	184	-148	49	11000
185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023	185	-23	23	11023
186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036	186	-13	13	11036
187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061	187	-25	25	11061
188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074	188	-13	13	11074
189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099	189	-25	25	11099
190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135	190	-135	36	11135
191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167	191	-32	32	11167
192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180	192	-13	13	11180
193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204	193	-24	24	11204
194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223	194	-19	19	11223
195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242	195	-19	19	11242
196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263	196	-21	21	11263
197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289	197	-26	26	11289
198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311	198	-22	22	11311
199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338	199	-126	27	11338
