Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
195	-139.0	139	30289	195	-139.0	139	30289
196	-110.0	110	30399	196	-110.0	110	30399
197	-129.0	129	30528	197	-129.0	129	30528
198	-142.0	142	30670	198	-142.0	142	30670
199	-137.0	137	30807	199	-137.0	137	30807
200	-133.0	133	30940	200	-133.0	133	30940
201	-123.0	123	31063	201	-123.0	123	31063
202	-135.0	135	31198	202	-135.0	135	31198
203	-108.0	108	31306	203	-108.0	108	31306
204	-109.0	109	31415	204	-109.0	109	31415
205	-110.0	110	31525	205	-110.0	110	31525
206	-112.0	112	31637	206	-112.0	112	31637
207	-123.0	123	31760	207	-123.0	123	31760
208	-110.0	110	31870	208	-110.0	110	31870
209	-110.0	110	31980	209	-110.0	110	31980
210	-138.0	138	32118	210	-138.0	138	32118
211	-109.0	109	32227	211	-109.0	109	32227
212	-109.0	109	32336	212	-109.0	109	32336
213	-106.0	106	32442	213	-106.0	106	32442
214	-107.0	107	32549	214	-107.0	107	32549
215	-108.0	108	32657	215	-108.0	108	32657
216	-108.0	108	32765	216	-108.0	108	32765
217	-140.0	140	32905	217	-140.0	140	32905
218	-106.0	106	33011	218	-106.0	106	33011
219	-107.0	107	33118	219	-107.0	107	33118
220	-123.0	123	33241	220	-123.0	123	33241
221	-108.0	108	33349	221	-108.0	108	33349
222	-200.0	200	33549	222	-200.0	200	33549
223	-138.0	138	33687	223	-138.0	138	33687
224	-110.0	110	33797	224	-110.0	110	33797
225	-134.0	134	33931	225	-134.0	134	33931
226	-109.0	109	34040	226	-109.0	109	34040
227	-133.0	133	34173	227	-133.0	133	34173
228	-134.0	134	34307	228	-134.0	134	34307
229	-136.0	136	34443	229	-136.0	136	34443
230	-137.0	137	34580	230	-137.0	137	34580
231	-107.0	107	34687	231	-107.0	107	34687
232	-137.0	137	34824	232	-137.0	137	34824
233	-135.0	135	34959	233	-135.0	135	34959
234	-105.0	105	35064	234	-105.0	105	35064
235	-106.0	106	35170	235	-106.0	106	35170
236	-134.0	134	35304	236	-134.0	134	35304
237	-106.0	106	35410	237	-106.0	106	35410
238	-130.0	130	35540	238	-130.0	130	35540
239	-105.0	105	35645	239	-105.0	105	35645
240	-108.0	108	35753	240	-108.0	108	35753
241	-111.0	111	35864	241	-111.0	111	35864
242	-127.0	127	35991	242	-127.0	127	35991
243	-115.0	115	36106	243	-115.0	115	36106
244	-129.0	129	36235	244	-129.0	129	36235
245	-136.0	136	36371	245	-136.0	136	36371
246	-165.0	165	36536	246	-165.0	165	36536
247	-132.0	132	36668	247	-132.0	132	36668
248	-149.0	149	36817	248	-149.0	149	36817
249	-167.0	167	36984	249	-167.0	167	36984
250	-113.0	113	37097	250	-113.0	113	37097
251	-136.0	136	37233	251	-136.0	136	37233
252	-138.0	138	37371	252	-138.0	138	37371
253	-135.0	135	37506	253	-135.0	135	37506
254	-135.0	135	37641	254	-135.0	135	37641
255	-133.0	133	37774	255	-133.0	133	37774
256	-134.0	134	37908	256	-134.0	134	37908
257	-133.0	133	38041	257	-133.0	133	38041
258	-130.0	130	38171	258	-130.0	130	38171
259	-134.0	134	38305	259	-134.0	134	38305
260	-131.0	131	38436	260	-131.0	131	38436
261	-105.0	105	38541	261	-105.0	105	38541
262	-105.0	105	38646	262	-105.0	105	38646
263	-134.0	134	38780	263	-134.0	134	38780
264	-134.0	134	38914	264	-134.0	134	38914
265	-134.0	134	39048	265	-134.0	134	39048
266	-134.0	134	39182	266	-134.0	134	39182
267	-109.0	109	39291	267	-109.0	109	39291
268	-106.0	106	39397	268	-106.0	106	39397
269	-162.0	162	39559	269	-162.0	162	39559
270	-104.0	104	39663	270	-104.0	104	39663
271	-105.0	105	39768	271	-105.0	105	39768
272	-105.0	105	39873	272	-105.0	105	39873
273	-106.0	106	39979	273	-106.0	106	39979
274	-97.0	97	40076	274	-97.0	97	40076
275	-106.0	106	40182	275	-106.0	106	40182
276	-134.0	134	40316	276	-134.0	134	40316
277	-145.0	145	40461	277	-145.0	145	40461
278	-106.0	106	40567	278	-106.0	106	40567
279	-146.0	146	40713	279	-146.0	146	40713
280	-143.0	143	40856	280	-143.0	143	40856
281	-107.0	107	40963	281	-107.0	107	40963
282	-134.0	134	41097	282	-134.0	134	41097
283	-165.0	165	41262	283	-165.0	165	41262
284	-130.0	130	41392	284	-130.0	130	41392
285	-138.0	138	41530	285	-138.0	138	41530
286	-137.0	137	41667	286	-137.0	137	41667
287	-106.0	106	41773	287	-106.0	106	41773
288	-134.0	134	41907	288	-134.0	134	41907
289	-106.0	106	42013	289	-106.0	106	42013
290	-106.0	106	42119	290	-106.0	106	42119
291	-107.0	107	42226	291	-107.0	107	42226
292	-150.0	150	42376	292	-150.0	150	42376
293	-109.0	109	42485	293	-109.0	109	42485
294	-107.0	107	42592	294	-107.0	107	42592
295	-108.0	108	42700	295	-108.0	108	42700
296	-107.0	107	42807	296	-107.0	107	42807
297	-107.0	107	42914	297	-107.0	107	42914
298	-108.0	108	43022	298	-108.0	108	43022
299	-162.0	162	43184	299	-162.0	162	43184
