Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
106	-24	24	2032	106	-24	24	2032	106	-24	24	2032	106	-24	24	2032	106	-24	24	2032	106	-24	24	2032	106	-24	24	2032	106	-24	24	2032	106	-24	24	2032	106	-24	24	2032
107	-18	18	2050	107	-18	18	2050	107	-18	18	2050	107	-18	18	2050	107	-18	18	2050	107	-18	18	2050	107	-18	18	2050	107	-18	18	2050	107	-18	18	2050	107	-18	18	2050
108	-24	24	2074	108	-24	24	2074	108	-24	24	2074	108	-24	24	2074	108	-24	24	2074	108	-24	24	2074	108	-24	24	2074	108	-24	24	2074	108	-24	24	2074	108	-24	24	2074
109	-18	18	2092	109	-18	18	2092	109	-18	18	2092	109	-18	18	2092	109	-18	18	2092	109	-18	18	2092	109	-18	18	2092	109	-18	18	2092	109	-18	18	2092	109	-18	18	2092
110	-18	18	2110	110	-18	18	2110	110	-18	18	2110	110	-18	18	2110	110	-18	18	2110	110	-18	18	2110	110	-18	18	2110	110	-18	18	2110	110	-18	18	2110	110	-18	18	2110
111	-19	19	2129	111	-19	19	2129	111	-19	19	2129	111	-19	19	2129	111	-19	19	2129	111	-19	19	2129	111	-19	19	2129	111	-19	19	2129	111	-19	19	2129	111	-19	19	2129
112	-18	18	2147	112	-18	18	2147	112	-18	18	2147	112	-18	18	2147	112	-18	18	2147	112	-18	18	2147	112	-18	18	2147	112	-18	18	2147	112	-18	18	2147	112	-18	18	2147
113	-118	19	2166	113	-118	19	2166	113	-118	19	2166	113	-118	19	2166	113	-118	19	2166	113	-118	19	2166	113	-118	19	2166	113	-118	19	2166	113	-118	19	2166	113	-118	19	2166
114	-25	25	2191	114	-25	25	2191	114	-25	25	2191	114	-25	25	2191	114	-25	25	2191	114	-25	25	2191	114	-25	25	2191	114	-25	25	2191	114	-25	25	2191	114	-25	25	2191
115	-18	18	2209	115	-18	18	2209	115	-18	18	2209	115	-18	18	2209	115	-18	18	2209	115	-18	18	2209	115	-18	18	2209	115	-18	18	2209	115	-18	18	2209	115	-18	18	2209
116	-20	20	2229	116	-20	20	2229	116	-20	20	2229	116	-20	20	2229	116	-20	20	2229	116	-20	20	2229	116	-20	20	2229	116	-20	20	2229	116	-20	20	2229	116	-20	20	2229
117	-21	21	2250	117	-21	21	2250	117	-21	21	2250	117	-21	21	2250	117	-21	21	2250	117	-21	21	2250	117	-21	21	2250	117	-21	21	2250	117	-21	21	2250	117	-21	21	2250
118	-15	15	2265	118	-15	15	2265	118	-15	15	2265	118	-15	15	2265	118	-15	15	2265	118	-15	15	2265	118	-15	15	2265	118	-15	15	2265	118	-15	15	2265	118	-15	15	2265
