Episode	Accumulated Reward	Length	Steps
429	-26	26	11082
430	-23	23	11105
431	-25	25	11130
432	-19	19	11149
433	-17	17	11166
434	-18	18	11184
435	-22	22	11206
436	-17	17	11223
437	-17	17	11240
438	-17	17	11257
439	-24	24	11281
440	-24	24	11305
441	-17	17	11322
442	-20	20	11342
443	-17	17	11359
444	-19	19	11378
445	-23	23	11401
446	-18	18	11419
447	-18	18	11437
448	-18	18	11455
449	-21	21	11476
450	-17	17	11493
451	-17	17	11510
452	-21	21	11531
453	-20	20	11551
454	-24	24	11575
455	-17	17	11592
456	-18	18	11610
457	-19	19	11629
458	-122	23	11652
459	-34	34	11686
460	-17	17	11703
461	-17	17	11720
462	-19	19	11739
463	-17	17	11756
464	-18	18	11774
465	-19	19	11793
466	-20	20	11813
467	-17	17	11830
468	-21	21	11851
469	-17	17	11868
470	-19	19	11887
471	-17	17	11904
472	-19	19	11923
473	-22	22	11945
474	-17	17	11962
475	-21	21	11983
476	-17	17	12000
477	-19	19	12019
478	-20	20	12039
479	-18	18	12057
480	-17	17	12074
481	-18	18	12092
482	-18	18	12110
483	-17	17	12127
484	-17	17	12144
485	-21	21	12165
486	-19	19	12184
487	-18	18	12202
488	-20	20	12222
489	-21	21	12243
490	-23	23	12266
491	-17	17	12283
492	-19	19	12302
493	-26	26	12328
494	-18	18	12346
495	-19	19	12365
496	-19	19	12384
497	-26	26	12410
498	-17	17	12427
499	-19	19	12446
