Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
175	-84.0	84	28201	175	-84.0	84	28201
176	-143.0	143	28344	176	-143.0	143	28344
177	-108.0	108	28452	177	-108.0	108	28452
178	-134.0	134	28586	178	-134.0	134	28586
179	-134.0	134	28720	179	-134.0	134	28720
180	-158.0	158	28878	180	-158.0	158	28878
181	-106.0	106	28984	181	-106.0	106	28984
182	-134.0	134	29118	182	-134.0	134	29118
183	-134.0	134	29252	183	-134.0	134	29252
184	-105.0	105	29357	184	-105.0	105	29357
185	-155.0	155	29512	185	-155.0	155	29512
186	-135.0	135	29647	186	-135.0	135	29647
187	-126.0	126	29773	187	-126.0	126	29773
188	-132.0	132	29905	188	-132.0	132	29905
189	-136.0	136	30041	189	-136.0	136	30041
190	-134.0	134	30175	190	-134.0	134	30175
191	-136.0	136	30311	191	-136.0	136	30311
192	-116.0	116	30427	192	-116.0	116	30427
193	-134.0	134	30561	193	-134.0	134	30561
194	-105.0	105	30666	194	-105.0	105	30666
195	-146.0	146	30812	195	-146.0	146	30812
196	-137.0	137	30949	196	-137.0	137	30949
197	-105.0	105	31054	197	-105.0	105	31054
198	-139.0	139	31193	198	-139.0	139	31193
199	-133.0	133	31326	199	-133.0	133	31326
200	-105.0	105	31431	200	-105.0	105	31431
201	-135.0	135	31566	201	-135.0	135	31566
202	-138.0	138	31704	202	-138.0	138	31704
203	-106.0	106	31810	203	-106.0	106	31810
204	-139.0	139	31949	204	-139.0	139	31949
205	-150.0	150	32099	205	-150.0	150	32099
206	-139.0	139	32238	206	-139.0	139	32238
207	-139.0	139	32377	207	-139.0	139	32377
208	-153.0	153	32530	208	-153.0	153	32530
209	-141.0	141	32671	209	-141.0	141	32671
210	-138.0	138	32809	210	-138.0	138	32809
211	-138.0	138	32947	211	-138.0	138	32947
212	-136.0	136	33083	212	-136.0	136	33083
213	-134.0	134	33217	213	-134.0	134	33217
214	-136.0	136	33353	214	-136.0	136	33353
215	-106.0	106	33459	215	-106.0	106	33459
216	-106.0	106	33565	216	-106.0	106	33565
217	-108.0	108	33673	217	-108.0	108	33673
218	-107.0	107	33780	218	-107.0	107	33780
219	-138.0	138	33918	219	-138.0	138	33918
220	-133.0	133	34051	220	-133.0	133	34051
221	-111.0	111	34162	221	-111.0	111	34162
222	-134.0	134	34296	222	-134.0	134	34296
223	-107.0	107	34403	223	-107.0	107	34403
224	-134.0	134	34537	224	-134.0	134	34537
225	-138.0	138	34675	225	-138.0	138	34675
226	-135.0	135	34810	226	-135.0	135	34810
227	-109.0	109	34919	227	-109.0	109	34919
228	-105.0	105	35024	228	-105.0	105	35024
229	-144.0	144	35168	229	-144.0	144	35168
230	-134.0	134	35302	230	-134.0	134	35302
231	-139.0	139	35441	231	-139.0	139	35441
232	-162.0	162	35603	232	-162.0	162	35603
233	-152.0	152	35755	233	-152.0	152	35755
234	-141.0	141	35896	234	-141.0	141	35896
235	-135.0	135	36031	235	-135.0	135	36031
236	-147.0	147	36178	236	-147.0	147	36178
237	-135.0	135	36313	237	-135.0	135	36313
238	-131.0	131	36444	238	-131.0	131	36444
239	-133.0	133	36577	239	-133.0	133	36577
240	-134.0	134	36711	240	-134.0	134	36711
241	-134.0	134	36845	241	-134.0	134	36845
242	-113.0	113	36958	242	-113.0	113	36958
243	-192.0	192	37150	243	-192.0	192	37150
244	-111.0	111	37261	244	-111.0	111	37261
245	-113.0	113	37374	245	-113.0	113	37374
