Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
99	-19	19	1788	99	-19	19	1788	99	-19	19	1788	99	-19	19	1788	99	-19	19	1788	99	-19	19	1788
100	-15	15	1803	100	-15	15	1803	100	-15	15	1803	100	-15	15	1803	100	-15	15	1803	100	-15	15	1803
101	-17	17	1820	101	-17	17	1820	101	-17	17	1820	101	-17	17	1820	101	-17	17	1820	101	-17	17	1820
102	-17	17	1837	102	-17	17	1837	102	-17	17	1837	102	-17	17	1837	102	-17	17	1837	102	-17	17	1837
103	-19	19	1856	103	-19	19	1856	103	-19	19	1856	103	-19	19	1856	103	-19	19	1856	103	-19	19	1856
104	-23	23	1879	104	-23	23	1879	104	-23	23	1879	104	-23	23	1879	104	-23	23	1879	104	-23	23	1879
105	-17	17	1896	105	-17	17	1896	105	-17	17	1896	105	-17	17	1896	105	-17	17	1896	105	-17	17	1896
106	-17	17	1913	106	-17	17	1913	106	-17	17	1913	106	-17	17	1913	106	-17	17	1913	106	-17	17	1913
107	-18	18	1931	107	-18	18	1931	107	-18	18	1931	107	-18	18	1931	107	-18	18	1931	107	-18	18	1931
108	-15	15	1946	108	-15	15	1946	108	-15	15	1946	108	-15	15	1946	108	-15	15	1946	108	-15	15	1946
109	-18	18	1964	109	-18	18	1964	109	-18	18	1964	109	-18	18	1964	109	-18	18	1964	109	-18	18	1964
110	-15	15	1979	110	-15	15	1979	110	-15	15	1979	110	-15	15	1979	110	-15	15	1979	110	-15	15	1979
111	-17	17	1996	111	-17	17	1996	111	-17	17	1996	111	-17	17	1996	111	-17	17	1996	111	-17	17	1996
112	-18	18	2014	112	-18	18	2014	112	-18	18	2014	112	-18	18	2014	112	-18	18	2014	112	-18	18	2014
113	-15	15	2029	113	-15	15	2029	113	-15	15	2029	113	-15	15	2029	113	-15	15	2029	113	-15	15	2029
114	-15	15	2044	114	-15	15	2044	114	-15	15	2044	114	-15	15	2044	114	-15	15	2044	114	-15	15	2044
115	-15	15	2059	115	-15	15	2059	115	-15	15	2059	115	-15	15	2059	115	-15	15	2059	115	-15	15	2059
116	-17	17	2076	116	-17	17	2076	116	-17	17	2076	116	-17	17	2076	116	-17	17	2076	116	-17	17	2076
117	-21	21	2097	117	-21	21	2097	117	-21	21	2097	117	-21	21	2097	117	-21	21	2097	117	-21	21	2097
118	-19	19	2116	118	-19	19	2116	118	-19	19	2116	118	-19	19	2116	118	-19	19	2116	118	-19	19	2116
119	-19	19	2135	119	-19	19	2135	119	-19	19	2135	119	-19	19	2135	119	-19	19	2135	119	-19	19	2135
120	-16	16	2151	120	-16	16	2151	120	-16	16	2151	120	-16	16	2151	120	-16	16	2151	120	-16	16	2151
121	-21	21	2172	121	-21	21	2172	121	-21	21	2172	121	-21	21	2172	121	-21	21	2172	121	-21	21	2172
122	-19	19	2191	122	-19	19	2191	122	-19	19	2191	122	-19	19	2191	122	-19	19	2191	122	-19	19	2191
123	-15	15	2206	123	-15	15	2206	123	-15	15	2206	123	-15	15	2206	123	-15	15	2206	123	-15	15	2206
124	-19	19	2225	124	-19	19	2225	124	-19	19	2225	124	-19	19	2225	124	-19	19	2225	124	-19	19	2225
125	-17	17	2242	125	-17	17	2242	125	-17	17	2242	125	-17	17	2242	125	-17	17	2242	125	-17	17	2242
126	-19	19	2261	126	-19	19	2261	126	-19	19	2261	126	-19	19	2261	126	-19	19	2261	126	-19	19	2261
127	-17	17	2278	127	-17	17	2278	127	-17	17	2278	127	-17	17	2278	127	-17	17	2278	127	-17	17	2278
128	-19	19	2297	128	-19	19	2297	128	-19	19	2297	128	-19	19	2297	128	-19	19	2297	128	-19	19	2297
129	-19	19	2316	129	-19	19	2316	129	-19	19	2316	129	-19	19	2316	129	-19	19	2316	129	-19	19	2316
130	-17	17	2333	130	-17	17	2333	130	-17	17	2333	130	-17	17	2333	130	-17	17	2333	130	-17	17	2333
131	-17	17	2350	131	-17	17	2350	131	-17	17	2350	131	-17	17	2350	131	-17	17	2350	131	-17	17	2350
132	-23	23	2373	132	-23	23	2373	132	-23	23	2373	132	-23	23	2373	132	-23	23	2373	132	-23	23	2373
133	-21	21	2394	133	-21	21	2394	133	-21	21	2394	133	-21	21	2394	133	-21	21	2394	133	-21	21	2394
134	-19	19	2413	134	-19	19	2413	134	-19	19	2413	134	-19	19	2413	134	-19	19	2413	134	-19	19	2413
135	-17	17	2430	135	-17	17	2430	135	-17	17	2430	135	-17	17	2430	135	-17	17	2430	135	-17	17	2430
136	-17	17	2447	136	-17	17	2447	136	-17	17	2447	136	-17	17	2447	136	-17	17	2447	136	-17	17	2447
137	-17	17	2464	137	-17	17	2464	137	-17	17	2464	137	-17	17	2464	137	-17	17	2464	137	-17	17	2464
138	-121	22	2486	138	-121	22	2486	138	-121	22	2486	138	-121	22	2486	138	-121	22	2486	138	-121	22	2486
139	-23	23	2509	139	-23	23	2509	139	-23	23	2509	139	-23	23	2509	139	-23	23	2509	139	-23	23	2509
140	-19	19	2528	140	-19	19	2528	140	-19	19	2528	140	-19	19	2528	140	-19	19	2528	140	-19	19	2528
141	-17	17	2545	141	-17	17	2545	141	-17	17	2545	141	-17	17	2545	141	-17	17	2545	141	-17	17	2545
142	-22	22	2567	142	-22	22	2567	142	-22	22	2567	142	-22	22	2567	142	-22	22	2567	142	-22	22	2567
143	-19	19	2586	143	-19	19	2586	143	-19	19	2586	143	-19	19	2586	143	-19	19	2586	143	-19	19	2586
144	-17	17	2603	144	-17	17	2603	144	-17	17	2603	144	-17	17	2603	144	-17	17	2603	144	-17	17	2603
