Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
95	-167.0	167	15808	95	-167.0	167	15808	95	-167.0	167	15808	95	-167.0	167	15808
96	-142.0	142	15950	96	-142.0	142	15950	96	-142.0	142	15950	96	-142.0	142	15950
97	-138.0	138	16088	97	-138.0	138	16088	97	-138.0	138	16088	97	-138.0	138	16088
98	-135.0	135	16223	98	-135.0	135	16223	98	-135.0	135	16223	98	-135.0	135	16223
99	-135.0	135	16358	99	-135.0	135	16358	99	-135.0	135	16358	99	-135.0	135	16358
100	-200.0	200	16558	100	-200.0	200	16558	100	-200.0	200	16558	100	-200.0	200	16558
101	-200.0	200	16758	101	-200.0	200	16758	101	-200.0	200	16758	101	-200.0	200	16758
102	-138.0	138	16896	102	-138.0	138	16896	102	-138.0	138	16896	102	-138.0	138	16896
103	-177.0	177	17073	103	-177.0	177	17073	103	-177.0	177	17073	103	-177.0	177	17073
104	-138.0	138	17211	104	-138.0	138	17211	104	-138.0	138	17211	104	-138.0	138	17211
105	-140.0	140	17351	105	-140.0	140	17351	105	-140.0	140	17351	105	-140.0	140	17351
106	-109.0	109	17460	106	-109.0	109	17460	106	-109.0	109	17460	106	-109.0	109	17460
107	-137.0	137	17597	107	-137.0	137	17597	107	-137.0	137	17597	107	-137.0	137	17597
108	-165.0	165	17762	108	-165.0	165	17762	108	-165.0	165	17762	108	-165.0	165	17762
109	-181.0	181	17943	109	-181.0	181	17943	109	-181.0	181	17943	109	-181.0	181	17943
110	-152.0	152	18095	110	-152.0	152	18095	110	-152.0	152	18095	110	-152.0	152	18095
111	-147.0	147	18242	111	-147.0	147	18242	111	-147.0	147	18242	111	-147.0	147	18242
112	-149.0	149	18391	112	-149.0	149	18391	112	-149.0	149	18391	112	-149.0	149	18391
113	-133.0	133	18524	113	-133.0	133	18524	113	-133.0	133	18524	113	-133.0	133	18524
114	-144.0	144	18668	114	-144.0	144	18668	114	-144.0	144	18668	114	-144.0	144	18668
115	-107.0	107	18775	115	-107.0	107	18775	115	-107.0	107	18775	115	-107.0	107	18775
116	-155.0	155	18930	116	-155.0	155	18930	116	-155.0	155	18930	116	-155.0	155	18930
117	-114.0	114	19044	117	-114.0	114	19044	117	-114.0	114	19044	117	-114.0	114	19044
118	-108.0	108	19152	118	-108.0	108	19152	118	-108.0	108	19152	118	-108.0	108	19152
119	-109.0	109	19261	119	-109.0	109	19261	119	-109.0	109	19261	119	-109.0	109	19261
