Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
95	-14	14	1527	95	-14	14	1527	95	-14	14	1527	95	-14	14	1527	95	-14	14	1527	95	-14	14	1527	95	-14	14	1527	95	-14	14	1527
96	-13	13	1540	96	-13	13	1540	96	-13	13	1540	96	-13	13	1540	96	-13	13	1540	96	-13	13	1540	96	-13	13	1540	96	-13	13	1540
97	-13	13	1553	97	-13	13	1553	97	-13	13	1553	97	-13	13	1553	97	-13	13	1553	97	-13	13	1553	97	-13	13	1553	97	-13	13	1553
98	-15	15	1568	98	-15	15	1568	98	-15	15	1568	98	-15	15	1568	98	-15	15	1568	98	-15	15	1568	98	-15	15	1568	98	-15	15	1568
99	-13	13	1581	99	-13	13	1581	99	-13	13	1581	99	-13	13	1581	99	-13	13	1581	99	-13	13	1581	99	-13	13	1581	99	-13	13	1581
100	-13	13	1594	100	-13	13	1594	100	-13	13	1594	100	-13	13	1594	100	-13	13	1594	100	-13	13	1594	100	-13	13	1594	100	-13	13	1594
101	-13	13	1607	101	-13	13	1607	101	-13	13	1607	101	-13	13	1607	101	-13	13	1607	101	-13	13	1607	101	-13	13	1607	101	-13	13	1607
102	-15	15	1622	102	-15	15	1622	102	-15	15	1622	102	-15	15	1622	102	-15	15	1622	102	-15	15	1622	102	-15	15	1622	102	-15	15	1622
103	-13	13	1635	103	-13	13	1635	103	-13	13	1635	103	-13	13	1635	103	-13	13	1635	103	-13	13	1635	103	-13	13	1635	103	-13	13	1635
104	-13	13	1648	104	-13	13	1648	104	-13	13	1648	104	-13	13	1648	104	-13	13	1648	104	-13	13	1648	104	-13	13	1648	104	-13	13	1648
105	-121	22	1670	105	-121	22	1670	105	-121	22	1670	105	-121	22	1670	105	-121	22	1670	105	-121	22	1670	105	-121	22	1670	105	-121	22	1670
106	-15	15	1685	106	-15	15	1685	106	-15	15	1685	106	-15	15	1685	106	-15	15	1685	106	-15	15	1685	106	-15	15	1685	106	-15	15	1685
107	-13	13	1698	107	-13	13	1698	107	-13	13	1698	107	-13	13	1698	107	-13	13	1698	107	-13	13	1698	107	-13	13	1698	107	-13	13	1698
108	-121	22	1720	108	-121	22	1720	108	-121	22	1720	108	-121	22	1720	108	-121	22	1720	108	-121	22	1720	108	-121	22	1720	108	-121	22	1720
109	-17	17	1737	109	-17	17	1737	109	-17	17	1737	109	-17	17	1737	109	-17	17	1737	109	-17	17	1737	109	-17	17	1737	109	-17	17	1737
110	-19	19	1756	110	-19	19	1756	110	-19	19	1756	110	-19	19	1756	110	-19	19	1756	110	-19	19	1756	110	-19	19	1756	110	-19	19	1756
111	-13	13	1769	111	-13	13	1769	111	-13	13	1769	111	-13	13	1769	111	-13	13	1769	111	-13	13	1769	111	-13	13	1769	111	-13	13	1769
112	-13	13	1782	112	-13	13	1782	112	-13	13	1782	112	-13	13	1782	112	-13	13	1782	112	-13	13	1782	112	-13	13	1782	112	-13	13	1782
