Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
59	-47	47	6558	59	-47	47	6558	59	-47	47	6558	59	-47	47	6558	59	-47	47	6558	59	-47	47	6558	59	-47	47	6558
60	-60	60	6618	60	-60	60	6618	60	-60	60	6618	60	-60	60	6618	60	-60	60	6618	60	-60	60	6618	60	-60	60	6618
61	-38	38	6656	61	-38	38	6656	61	-38	38	6656	61	-38	38	6656	61	-38	38	6656	61	-38	38	6656	61	-38	38	6656
62	-25	25	6681	62	-25	25	6681	62	-25	25	6681	62	-25	25	6681	62	-25	25	6681	62	-25	25	6681	62	-25	25	6681
63	-47	47	6728	63	-47	47	6728	63	-47	47	6728	63	-47	47	6728	63	-47	47	6728	63	-47	47	6728	63	-47	47	6728
64	-40	40	6768	64	-40	40	6768	64	-40	40	6768	64	-40	40	6768	64	-40	40	6768	64	-40	40	6768	64	-40	40	6768
65	-61	61	6829	65	-61	61	6829	65	-61	61	6829	65	-61	61	6829	65	-61	61	6829	65	-61	61	6829	65	-61	61	6829
66	-32	32	6861	66	-32	32	6861	66	-32	32	6861	66	-32	32	6861	66	-32	32	6861	66	-32	32	6861	66	-32	32	6861
67	-194	95	6956	67	-194	95	6956	67	-194	95	6956	67	-194	95	6956	67	-194	95	6956	67	-194	95	6956	67	-194	95	6956
68	-31	31	6987	68	-31	31	6987	68	-31	31	6987	68	-31	31	6987	68	-31	31	6987	68	-31	31	6987	68	-31	31	6987
69	-36	36	7023	69	-36	36	7023	69	-36	36	7023	69	-36	36	7023	69	-36	36	7023	69	-36	36	7023	69	-36	36	7023
70	-66	66	7089	70	-66	66	7089	70	-66	66	7089	70	-66	66	7089	70	-66	66	7089	70	-66	66	7089	70	-66	66	7089
71	-41	41	7130	71	-41	41	7130	71	-41	41	7130	71	-41	41	7130	71	-41	41	7130	71	-41	41	7130	71	-41	41	7130
72	-32	32	7162	72	-32	32	7162	72	-32	32	7162	72	-32	32	7162	72	-32	32	7162	72	-32	32	7162	72	-32	32	7162
73	-45	45	7207	73	-45	45	7207	73	-45	45	7207	73	-45	45	7207	73	-45	45	7207	73	-45	45	7207	73	-45	45	7207
74	-48	48	7255	74	-48	48	7255	74	-48	48	7255	74	-48	48	7255	74	-48	48	7255	74	-48	48	7255	74	-48	48	7255
75	-46	46	7301	75	-46	46	7301	75	-46	46	7301	75	-46	46	7301	75	-46	46	7301	75	-46	46	7301	75	-46	46	7301
76	-152	53	7354	76	-152	53	7354	76	-152	53	7354	76	-152	53	7354	76	-152	53	7354	76	-152	53	7354	76	-152	53	7354
77	-37	37	7391	77	-37	37	7391	77	-37	37	7391	77	-37	37	7391	77	-37	37	7391	77	-37	37	7391	77	-37	37	7391
78	-21	21	7412	78	-21	21	7412	78	-21	21	7412	78	-21	21	7412	78	-21	21	7412	78	-21	21	7412	78	-21	21	7412
79	-45	45	7457	79	-45	45	7457	79	-45	45	7457	79	-45	45	7457	79	-45	45	7457	79	-45	45	7457	79	-45	45	7457
80	-41	41	7498	80	-41	41	7498	80	-41	41	7498	80	-41	41	7498	80	-41	41	7498	80	-41	41	7498	80	-41	41	7498
81	-25	25	7523	81	-25	25	7523	81	-25	25	7523	81	-25	25	7523	81	-25	25	7523	81	-25	25	7523	81	-25	25	7523
82	-43	43	7566	82	-43	43	7566	82	-43	43	7566	82	-43	43	7566	82	-43	43	7566	82	-43	43	7566	82	-43	43	7566
83	-49	49	7615	83	-49	49	7615	83	-49	49	7615	83	-49	49	7615	83	-49	49	7615	83	-49	49	7615	83	-49	49	7615
84	-28	28	7643	84	-28	28	7643	84	-28	28	7643	84	-28	28	7643	84	-28	28	7643	84	-28	28	7643	84	-28	28	7643
85	-162	63	7706	85	-162	63	7706	85	-162	63	7706	85	-162	63	7706	85	-162	63	7706	85	-162	63	7706	85	-162	63	7706
86	-128	29	7735	86	-128	29	7735	86	-128	29	7735	86	-128	29	7735	86	-128	29	7735	86	-128	29	7735	86	-128	29	7735
87	-30	30	7765	87	-30	30	7765	87	-30	30	7765	87	-30	30	7765	87	-30	30	7765	87	-30	30	7765	87	-30	30	7765
88	-47	47	7812	88	-47	47	7812	88	-47	47	7812	88	-47	47	7812	88	-47	47	7812	88	-47	47	7812	88	-47	47	7812
89	-262	64	7876	89	-262	64	7876	89	-262	64	7876	89	-262	64	7876	89	-262	64	7876	89	-262	64	7876	89	-262	64	7876
90	-68	68	7944	90	-68	68	7944	90	-68	68	7944	90	-68	68	7944	90	-68	68	7944	90	-68	68	7944	90	-68	68	7944
91	-251	53	7997	91	-251	53	7997	91	-251	53	7997	91	-251	53	7997	91	-251	53	7997	91	-251	53	7997	91	-251	53	7997
92	-41	41	8038	92	-41	41	8038	92	-41	41	8038	92	-41	41	8038	92	-41	41	8038	92	-41	41	8038	92	-41	41	8038
93	-38	38	8076	93	-38	38	8076	93	-38	38	8076	93	-38	38	8076	93	-38	38	8076	93	-38	38	8076	93	-38	38	8076
94	-33	33	8109	94	-33	33	8109	94	-33	33	8109	94	-33	33	8109	94	-33	33	8109	94	-33	33	8109	94	-33	33	8109
95	-28	28	8137	95	-28	28	8137	95	-28	28	8137	95	-28	28	8137	95	-28	28	8137	95	-28	28	8137	95	-28	28	8137
96	-37	37	8174	96	-37	37	8174	96	-37	37	8174	96	-37	37	8174	96	-37	37	8174	96	-37	37	8174	96	-37	37	8174
97	-281	83	8257	97	-281	83	8257	97	-281	83	8257	97	-281	83	8257	97	-281	83	8257	97	-281	83	8257	97	-281	83	8257
98	-37	37	8294	98	-37	37	8294	98	-37	37	8294	98	-37	37	8294	98	-37	37	8294	98	-37	37	8294	98	-37	37	8294
99	-17	17	8311	99	-17	17	8311	99	-17	17	8311	99	-17	17	8311	99	-17	17	8311	99	-17	17	8311	99	-17	17	8311
100	-60	60	8371	100	-60	60	8371	100	-60	60	8371	100	-60	60	8371	100	-60	60	8371	100	-60	60	8371	100	-60	60	8371
101	-25	25	8396	101	-25	25	8396	101	-25	25	8396	101	-25	25	8396	101	-25	25	8396	101	-25	25	8396	101	-25	25	8396
102	-29	29	8425	102	-29	29	8425	102	-29	29	8425	102	-29	29	8425	102	-29	29	8425	102	-29	29	8425	102	-29	29	8425
103	-34	34	8459	103	-34	34	8459	103	-34	34	8459	103	-34	34	8459	103	-34	34	8459	103	-34	34	8459	103	-34	34	8459
104	-31	31	8490	104	-31	31	8490	104	-31	31	8490	104	-31	31	8490	104	-31	31	8490	104	-31	31	8490	104	-31	31	8490
105	-135	36	8526	105	-135	36	8526	105	-135	36	8526	105	-135	36	8526	105	-135	36	8526	105	-135	36	8526	105	-135	36	8526
106	-47	47	8573	106	-47	47	8573	106	-47	47	8573	106	-47	47	8573	106	-47	47	8573	106	-47	47	8573	106	-47	47	8573
107	-18	18	8591	107	-18	18	8591	107	-18	18	8591	107	-18	18	8591	107	-18	18	8591	107	-18	18	8591	107	-18	18	8591
108	-35	35	8626	108	-35	35	8626	108	-35	35	8626	108	-35	35	8626	108	-35	35	8626	108	-35	35	8626	108	-35	35	8626
109	-45	45	8671	109	-45	45	8671	109	-45	45	8671	109	-45	45	8671	109	-45	45	8671	109	-45	45	8671	109	-45	45	8671
110	-22	22	8693	110	-22	22	8693	110	-22	22	8693	110	-22	22	8693	110	-22	22	8693	110	-22	22	8693	110	-22	22	8693
111	-48	48	8741	111	-48	48	8741	111	-48	48	8741	111	-48	48	8741	111	-48	48	8741	111	-48	48	8741	111	-48	48	8741
112	-36	36	8777	112	-36	36	8777	112	-36	36	8777	112	-36	36	8777	112	-36	36	8777	112	-36	36	8777	112	-36	36	8777
113	-37	37	8814	113	-37	37	8814	113	-37	37	8814	113	-37	37	8814	113	-37	37	8814	113	-37	37	8814	113	-37	37	8814
114	-26	26	8840	114	-26	26	8840	114	-26	26	8840	114	-26	26	8840	114	-26	26	8840	114	-26	26	8840	114	-26	26	8840
115	-22	22	8862	115	-22	22	8862	115	-22	22	8862	115	-22	22	8862	115	-22	22	8862	115	-22	22	8862	115	-22	22	8862
116	-32	32	8894	116	-32	32	8894	116	-32	32	8894	116	-32	32	8894	116	-32	32	8894	116	-32	32	8894	116	-32	32	8894
117	-47	47	8941	117	-47	47	8941	117	-47	47	8941	117	-47	47	8941	117	-47	47	8941	117	-47	47	8941	117	-47	47	8941
118	-224	26	8967	118	-224	26	8967	118	-224	26	8967	118	-224	26	8967	118	-224	26	8967	118	-224	26	8967	118	-224	26	8967
119	-52	52	9019	119	-52	52	9019	119	-52	52	9019	119	-52	52	9019	119	-52	52	9019	119	-52	52	9019	119	-52	52	9019
120	-23	23	9042	120	-23	23	9042	120	-23	23	9042	120	-23	23	9042	120	-23	23	9042	120	-23	23	9042	120	-23	23	9042
121	-20	20	9062	121	-20	20	9062	121	-20	20	9062	121	-20	20	9062	121	-20	20	9062	121	-20	20	9062	121	-20	20	9062
